ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Karlovic I.,34,75,1190,667,7,6,6,3,7,6,,,,,3,0,Completed,1.53,2.37,1.55,2.4,1.53,2.38,1.51,2.76,1.57,2.38,1.6,2.8,1.5,2.55
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Sela D.,39,68,1090,706,3,6,7,6,6,7,6,3,6,3,3,2,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.54,2.66,1.5,2.63,1.55,2.74,1.49,2.57
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Struff J.L.,15,105,2145,527,6,1,6,4,6,2,,,,,3,0,Completed,1.22,4,1.28,3.5,1.22,4,1.29,4.06,1.22,4,1.29,4.5,1.25,3.84
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Falla A.,Kukushkin M.,87,66,612,721,6,7,6,2,6,2,6,3,,,3,1,Completed,1.66,2.1,1.75,2.05,1.67,2.1,1.96,1.94,1.73,2.1,1.98,2.15,1.81,1.96
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Giraldo S.,51,69,915,703,6,3,6,2,3,6,7,6,,,3,1,Completed,1.36,3,1.38,3,1.4,2.75,1.45,2.99,1.4,2.88,1.45,3.65,1.39,2.93
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Johnson S.,71,147,692,378,3,6,6,3,6,0,5,7,6,4,3,2,Completed,2.2,1.61,2.15,1.68,2.1,1.67,2.17,1.78,2.1,1.73,2.25,1.81,2.1,1.71
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Golubev A.,8,85,3890,620,6,4,4,1,,,,,,,1,0,Retired,1.04,13,1.05,9,1.04,11,1.05,14.12,1.04,10,1.05,17,1.04,11.17
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Hajek J.,188,103,272,540,6,4,6,2,6,1,,,,,3,0,Completed,1.5,2.5,1.52,2.45,1.53,2.38,1.49,2.81,1.57,2.38,1.58,2.81,1.5,2.53
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Sousa J.,136,50,422,925,5,7,6,4,6,3,7,6,,,3,1,Completed,2,1.72,2.05,1.75,2,1.73,,,2,1.8,2.18,1.83,2.03,1.76
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Kudla D.,37,113,1110,497,6,4,6,2,6,4,,,,,3,0,Completed,1.28,3.5,1.28,3.5,1.3,3.4,1.36,3.45,1.33,3.25,1.36,3.65,1.31,3.38
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Gonzalez A.,3,74,5640,672,6,3,6,4,6,4,,,,,3,0,Completed,1.02,17,1.03,11,1.03,12,1.03,17.5,1.02,13,1.04,21,1.02,12.96
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Vesely J.,21,83,1580,636,2,6,6,7,6,4,6,4,6,4,3,2,Completed,1.33,3.25,1.33,3.2,1.33,3.25,1.33,3.64,1.36,3,1.43,3.64,1.34,3.21
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Gulbis E.,Monaco J.,24,42,1418,1015,1,6,6,4,7,6,6,2,,,3,1,Completed,1.16,5,1.17,4.75,1.22,4,1.19,5.42,1.22,4,1.22,5.7,1.18,4.75
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,De Schepper K.,Wu D.,86,203,617,246,7,5,7,5,7,6,,,,,3,0,Completed,1.83,1.83,1.88,1.88,1.8,1.91,2.02,1.88,1.91,1.91,2.02,1.94,1.88,1.87
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Guez D.,9,176,3140,286,7,5,6,4,6,1,,,,,3,0,Completed,1.06,10,1.04,10,1.03,10,1.05,13,1.04,10,1.07,15,1.05,10.39
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Nedovyesov A.,7,94,4180,586,6,3,6,4,6,3,,,,,3,0,Completed,1.01,23,1.02,12,1.03,12,1.02,22.73,1.02,15,1.03,27.25,1.02,16.27
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Mahut N.,67,46,711,958,6,3,7,5,4,6,0,6,6,3,3,2,Completed,2.37,1.53,2.4,1.55,2.38,1.53,2.49,1.61,2.38,1.57,2.7,1.61,2.4,1.55
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Huta Galung J.,31,100,1255,557,6,2,6,4,6,4,,,,,3,0,Completed,1.1,7,1.1,6.5,1.1,6.5,1.16,6.17,1.11,6.5,1.16,7.5,1.12,6.12
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Bogomolov A.,16,89,1930,611,6,3,6,2,,,,,,,2,0,Retired,1.66,2.1,1.75,2.05,1.73,2,1.75,2.21,1.73,2.1,1.83,2.42,1.73,2.08
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Montanes A.,98,60,579,766,6,1,6,3,6,1,,,,,3,0,Completed,1.36,3,1.4,2.9,1.4,2.75,1.34,3.6,1.33,3.25,1.4,3.6,1.35,3.13
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Carreno-Busta P.,38,63,1090,739,6,3,3,6,4,6,6,1,6,2,3,2,Completed,1.3,3.4,1.33,3.2,1.29,3.5,1.33,3.64,1.33,3.25,1.34,3.75,1.31,3.39
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Rosol L.,18,47,1810,956,6,1,6,7,3,6,7,6,8,6,3,2,Completed,1.8,1.9,1.88,1.88,1.73,2,1.91,2,1.8,2,1.97,2.02,1.84,1.92
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Roger-Vasselin E.,Berlocq C.,40,41,1038,1020,6,4,7,6,6,7,6,2,,,3,1,Completed,1.36,3,1.4,2.9,1.36,3,1.38,3.31,1.4,2.88,1.46,3.31,1.39,2.93
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Haas T.,58,12,801,2435,7,5,5,2,,,,,,,1,0,Retired,2.5,1.5,2.5,1.5,2.62,1.44,2.81,1.5,2.75,1.44,2.81,1.58,2.54,1.5
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,Thompson J.,20,319,1615,139,1,6,4,6,6,4,6,2,6,1,3,2,Completed,1.25,3.75,1.28,3.5,1.29,3.75,1.29,3.97,1.25,3.75,1.32,4.05,1.27,3.63
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Groth S.,30,157,1289,334,6,4,6,3,6,4,,,,,3,0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.43,3.07,1.44,2.75,1.47,3.07,1.43,2.77
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Andujar P.,Ramos A.,48,84,946,626,6,4,6,2,6,4,,,,,3,0,Completed,2.37,1.53,2.6,1.48,2.5,1.5,2.53,1.6,2.38,1.57,2.6,1.7,2.43,1.54
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Kubot L.,61,72,760,686,3,6,6,3,3,6,6,3,6,4,3,2,Completed,1.57,2.25,1.6,2.3,1.57,2.25,1.63,2.44,1.62,2.25,1.65,2.45,1.59,2.31
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Berankis R.,56,128,825,433,7,5,7,5,6,2,,,,,3,0,Completed,1.33,3.25,1.35,3.1,1.36,3,1.46,2.94,1.4,2.88,1.46,3.25,1.37,3.04
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Tursunov D.,Russell M.,26,92,1314,594,6,2,6,2,6,3,,,,,3,0,Completed,1.11,6.5,1.13,5.5,1.14,5,1.13,7.07,1.17,5,1.17,7.07,1.13,5.95
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Lacko L.,2,96,12260,582,6,3,7,6,6,1,,,,,3,0,Completed,1,41,1.01,13,1,34,,,1.01,21,1.01,86,1.01,26.85
6,Melbourne,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Istomin D.,Baghdatis M.,49,108,945,515,6,4,7,5,6,4,,,,,3,0,Completed,1.57,2.25,1.62,2.25,1.62,2.2,1.66,2.37,1.62,2.25,1.69,2.48,1.61,2.28
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Pouille L.,117,193,483,262,6,4,7,6,4,6,6,3,,,3,1,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.52,2.73,1.44,2.75,1.53,2.95,1.46,2.66
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Klahn B.,22,93,1460,592,6,7,6,4,6,4,6,3,,,3,1,Completed,1.18,4.5,1.2,4.3,1.2,4.33,1.19,5.33,1.22,4,1.22,5.5,1.19,4.6
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Matosevic M.,17,54,1915,856,6,3,5,7,6,2,4,6,6,2,3,2,Completed,1.22,4,1.25,3.75,1.29,3.5,1.27,4.18,1.29,3.5,1.29,4.3,1.25,3.85
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Przysiezny M.,Zeballos H.,64,65,730,730,6,3,7,6,7,5,,,,,3,0,Completed,1.5,2.5,1.5,2.5,1.44,2.62,1.58,2.55,1.5,2.63,1.58,2.64,1.52,2.49
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Gimeno-Traver D.,11,77,2860,662,7,6,6,1,4,6,6,2,,,3,1,Completed,1.04,13,1.02,12,1.02,11,1.04,15,1.03,11,1.05,15,1.03,12.02
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Lu Y.H.,Wang J.,53,173,860,302,6,3,6,2,6,1,,,,,3,0,Completed,1.22,4,1.25,3.75,1.22,4,1.26,4.38,1.22,4,1.28,4.4,1.23,3.98
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Gojowczyk P.,76,135,665,423,7,6,7,6,6,3,,,,,3,0,Completed,2.75,1.4,2.8,1.42,2.62,1.44,3.19,1.41,2.75,1.44,3.2,1.52,2.79,1.42
6,Melbourne,Australian Open,14/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Robert S.,Bedene A.,119,104,479,528,7,6,6,3,6,0,,,,,3,0,Completed,,,,,,,,,,,,,,
