ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Nishikori K.,179,12,269,2405,6,4,6,4,6,2,,,,,3,0,Completed,8,1.08,6,1.1,6,1.11,9.16,1.09,6.5,1.1,9.4,1.13,7.09,1.09
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Tursunov D.,Bedene A.,34,106,1190,513,7,5,4,6,6,3,6,0,,,3,1,Completed,1.18,4.5,1.14,4.75,1.17,4.5,1.31,3.85,1.2,4.5,1.31,5.5,1.2,4.4
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Ramos A.,52,75,870,695,6,3,3,6,4,6,7,6,6,3,3,2,Completed,1.25,3.75,1.28,3.3,1.3,3.4,1.31,3.85,1.33,3.25,1.36,4.05,1.29,3.52
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Rufin G.,Struff J.L.,91,96,589,563,7,6,6,3,2,6,2,6,6,1,3,2,Completed,1.28,3.5,1.33,3,1.4,2.75,1.35,3.49,1.4,2.88,1.45,3.5,1.34,3.17
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Serra F.,26,206,1435,223,6,7,6,2,6,3,6,3,,,3,1,Completed,1.12,6,1.12,5.25,1.13,5,1.2,5.16,1.1,7,1.2,7.5,1.13,5.52
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Klahn B.,De Schepper K.,124,69,460,716,6,7,6,2,7,6,7,6,,,3,1,Completed,1.4,2.75,1.45,2.54,1.44,2.62,1.38,3.39,1.53,2.5,1.54,3.39,1.41,2.84
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Russell M.,9,92,2625,589,6,3,6,4,6,2,,,,,3,0,Completed,1.06,10,1.07,7,1.07,8.5,1.09,8.91,1.08,7.5,1.1,11,1.07,8.34
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Williams R.,42,115,1030,488,6,3,4,6,1,6,7,5,6,0,3,2,Completed,1.13,5.5,1.18,4.25,1.2,4.33,1.19,5.39,1.17,5,1.23,5.7,1.17,4.87
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Robert S.,Olivetti A.,150,302,366,138,6,3,6,3,6,4,,,,,3,0,Completed,1.5,2.5,1.52,2.35,1.53,2.38,1.52,2.73,1.57,2.38,1.6,2.73,1.54,2.44
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Martin A.,172,137,279,414,6,4,7,6,7,5,,,,,3,0,Completed,1.18,4.5,1.22,3.8,1.25,3.75,1.23,4.76,1.25,3.75,1.27,5.3,1.22,4.14
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Haider-Maurer A.,Gulbis E.,88,33,600,1191,3,6,6,3,1,6,7,6,6,4,3,2,Completed,13,1.04,8,1.05,9,1.04,15,1.04,9,1.06,15,1.08,10.58,1.05
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Cuevas P.,21,492,1685,66,6,3,6,7,6,3,,,,,2,1,Retired,1.05,11,1.05,8,1.04,9,1.08,10.15,1.06,9,1.08,14,1.05,10.26
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Harrison R.,2,97,8860,561,6,4,6,2,6,2,,,,,3,0,Completed,1.01,21,1.02,10,1.02,17,1.01,27.22,1.01,15,1.03,41,1.02,16.96
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Verdasco F.,38,30,1125,1325,6,3,7,5,1,6,4,6,6,3,3,2,Completed,2.37,1.53,2.4,1.5,2.5,1.5,2.25,1.73,2.38,1.57,2.5,1.73,2.28,1.61
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Dancevic F.,Haase R.,152,59,354,797,7,6,3,6,7,5,7,6,,,3,1,Completed,2.75,1.4,2.4,1.5,2.62,1.44,2.5,1.6,2.75,1.44,2.75,1.6,2.5,1.51
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Kuznetsov An.,77,83,656,616,7,6,6,3,6,7,5,7,6,4,3,2,Completed,1.22,4,1.28,3.3,1.3,3.4,1.29,3.97,1.33,3.25,1.33,4.05,1.27,3.73
51,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Matosevic M.,22,56,1620,834,6,3,6,7,6,3,6,2,,,3,1,Completed,1.57,2.25,1.6,2.2,1.53,2.38,1.67,2.35,1.57,2.38,1.7,2.4,1.61,2.26
