ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Melzer J.,Fognini F.,37,30,1085,1345,6,7,7,5,6,3,6,2,,,3,1,Completed,2.75,1.4,2.9,1.4,2.62,1.44,2.99,1.45,2.88,1.4,3.25,1.45,2.83,1.42
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Reister J.,Rosol L.,121,35,461,1091,6,3,4,6,7,6,6,7,6,4,3,2,Completed,2.75,1.4,2.7,1.45,2.75,1.4,2.52,1.59,2.75,1.44,3.15,1.59,2.65,1.47
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Robert S.,Falla A.,165,77,316,666,6,3,7,6,7,5,,,,,3,0,Completed,2,1.72,1.92,1.85,1.83,1.83,2.22,1.74,1.9,1.9,2.25,1.93,1.97,1.8
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Paire B.,Ungur A.,27,94,1380,568,6,4,4,6,6,3,6,1,,,3,1,Completed,1.06,10,1.07,8,1.07,7.5,1.08,9.5,1.08,7.5,1.1,11,1.08,8.3
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Stakhovsky S.,Dutra Silva R.,116,100,488,550,6,4,6,0,6,4,,,,,3,0,Completed,1.08,8,1.12,6,1.12,5.5,1.11,8.36,1.1,7,1.14,8.36,1.1,6.84
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Kubot L.,Andreev I.,130,416,440,87,6,1,7,5,6,2,,,,,3,0,Completed,1.14,5.5,1.16,5,1.12,5.5,1.2,5.33,1.1,7,1.2,7,1.15,5.47
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Rufin G.,Matosevic M.,85,72,589,701,6,1,4,6,6,4,6,3,,,3,1,Completed,2.1,1.66,1.98,1.8,2,1.73,2.29,1.69,2,1.8,2.3,1.8,2.08,1.73
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Cilic M.,Baghdatis M.,12,40,2470,995,6,3,6,4,6,4,,,,,3,0,Completed,1.18,4.5,1.2,4.4,1.17,5,1.22,4.9,1.17,5,1.23,5.7,1.18,4.72
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Janowicz J.,Edmund K.,22,385,1549,99,6,2,6,2,6,4,,,,,3,0,Completed,1.18,4.5,1.18,4.4,1.2,4.5,1.2,5.24,1.17,5,1.25,5.24,1.19,4.57
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Hanescu V.,3,48,7740,895,6,3,6,2,6,0,,,,,3,0,Completed,1.002,29,1.01,20,1.01,26,1.01,41,1.01,17,1.02,66,1.01,23.26
